"Individual ID","Freezer","Location","Box","Column","Row"
"BBN_16455","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"BBN_16693","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"BBN_16778","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","A"
"BBN_16794","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","10","A"
"BBN_16794","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","2","C"
"BBN_16843","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","4","B"
"BBN_16846","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"BBN_16849","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"BBN_16859","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"BBN_17057","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"BBN_17061","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"BBN_16693","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","9","E"
"BBN_16775","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","9","A"
"BBN_16775","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","1","F"
"BBN_16778","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","7","A"
"BBN_16794","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","1","B"
"BBN_16794","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","7","F"
"BBN_16796","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","2","B"
"BBN_16796","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","3","B"
"BBN_16796","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","6","E"
"BBN_16796","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","2","F"
"BBN_16811","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","5","B"
"BBN_16811","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","6","B"
"BBN_16811","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","5","C"
"BBN_16811","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","4","F"
"BBN_16812","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","7","B"
"BBN_16812","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","5","D"
"BBN_16812","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","6","D"
"BBN_16843","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"BBN_16846","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"BBN_16849","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","6","F"
"BBN_16850","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","9","B"
"BBN_16850","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"BBN_17057","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","5","E"
"BBN_17061","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"BBN_17076","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","C"
"BBN_17076","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"BBN_17077","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"BBN_17077","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"1110","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","3","E"
"1111","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","9","C"
"1118","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","7","D"
"1119","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","10","B"
"1123","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"1835","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"1851","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","3","F"
"11805","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","7","E"
"11820","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11830","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11831","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11831","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11832","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11832","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11834","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","D"
"11841","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11846","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","2","F"
"11851","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11873","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","5","F"
"11885","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","1","C"
"11885","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","2","D"
"11885","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","3","D"
"11885","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","9","D"
"11898","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11900","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","4","E"
"11918","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","4","C"
"11918","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","E"
"11921","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","6","C"
"11921","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","1","D"
"11921","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","F"
"11930","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","10","C"
"11942","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"12017","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","10","E"
"12017","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11831","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11832","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
