"Brainbank ID","Location Freezer","Location","Box","Column","Row","Region",""
"BBN_16455","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","PFC",""
"BBN_16693","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","PFC",""
"BBN_16778","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","A","PFC",""
"BBN_16794","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","10","A","PFC",""
"BBN_16794","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","2","C","PFC",""
"BBN_16843","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","4","B","PFC",""
"BBN_16846","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","PFC",""
"BBN_16849","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","PFC",""
"BBN_16859","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","PFC",""
"BBN_17057","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","PFC",""
"BBN_17061","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","PFC",""
"BBN_16693","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","9","E","CBL",""
"BBN_16775","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","9","A","PFC",""
"BBN_16775","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","1","F","CBL",""
"BBN_16778","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","7","A","CBL",""
"BBN_16794","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","1","B","CBL",""
"BBN_16794","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","7","F","CBL",""
"BBN_16796","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","2","B","PFC",""
"BBN_16796","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","3","B","CBL",""
"BBN_16796","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","6","E","PFC",""
"BBN_16796","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","2","F","CBL",""
"BBN_16811","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","5","B","PFC",""
"BBN_16811","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","6","B","CBL",""
"BBN_16811","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","5","C","CBL",""
"BBN_16811","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","4","F","CBL",""
"BBN_16812","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","7","B","PFC",""
"BBN_16812","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","5","D","CBL",""
"BBN_16812","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","6","D","PFC",""
"BBN_16843","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","CBL",""
"BBN_16846","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","CBL",""
"BBN_16849","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","6","F","CBL",""
"BBN_16850","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","9","B","PFC",""
"BBN_16850","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","CBL",""
"BBN_17057","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","5","E","CBL",""
"BBN_17061","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","CBL",""
"BBN_17076","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","C","PFC",""
"BBN_17076","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","CBL",""
"BBN_17077","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","CBL",""
"BBN_17077","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","PFC",""
"1110","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","3","E","",""
"1111","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","9","C","",""
"1118","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","7","D","",""
"1119","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","10","B","weird white icey substance",""
"1123","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","",""
"1835","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex",""
"1851","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","3","F","",""
"11805","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","7","E","L Cortex Slice 1",""
"11820","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","C1",""
"11830","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","L Cortex",""
"11831","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cerebellum",""
"11831","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","L BG",""
"11832","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cerebellum",""
"11832","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","L. BG",""
"11834","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","D","T1 Left",""
"11841","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex Slice 1 12",""
"11846","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","2","F","CS23",""
"11851","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","21 R3",""
"11873","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","5","F","9 L Cortex Sl1 Front",""
"11885","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","1","C","Cerebellum",""
"11885","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","2","D","Midbrain",""
"11885","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","3","D","C1 Right",""
"11885","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","9","D","C1 left",""
"11898","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex 2",""
"11900","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","4","E","R Cortex Slice 4",""
"11918","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","4","C","Basal Ganglia",""
"11918","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","E","3",""
"11921","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","6","C","C2 R",""
"11921","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","1","D","C1-R Cortex",""
"11921","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","F","Cortex 31",""
"11930","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","10","C","",""
"11942","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","23 R Sl1 Cortex",""
"12017","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","10","E","Cortex",""
"12017","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","2 Basal Ganglia",""
"11831","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","",""
"11832","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","L Cortex",""
"12352","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex Right",""
"11920","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","",""
"12499","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex 9",""
"11950","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex 3",""
"11968","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex 13",""
"11975","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex 1",""
"11994","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex",""
"12017","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","3","C","2 Basal Ganglia",""
"12352","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex Left",""
"1558","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","4","D","forebrain,",""
"1558","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","3","F","forebrain,",""
"1835","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","cortex,",""
"1923","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","forebrain,",""
"11820","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","cortex,",""
"11823","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","telencephalon,",""
"11826","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","telencephalon,",""
"11827","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","telencephalon,",""
"11833","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","B","cortex,",""
"11834","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","2","E","cortex,",""
"11841","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","cortex,",""
"11845","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","cortex,",""
"11848","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","forebrain,",""
